[[31m12:33:14.248 STDERR (CRITICAL) on main] Unknown key : RECALAGE_ACC, also tried recalageAcc[0m
[[31m12:33:14.249 STDERR (CRITICAL) on main] Unknown key : SECOURS, also tried secours[0m
[[31m12:33:14.250 STDERR (CRITICAL) on main] Unknown key : RECALAGE_MECA_ACC, also tried recalageMecaAcc[0m
[[31m12:33:14.253 STDERR (CRITICAL) on main] Unknown key : MILIEU_ECUEIL_PRIVE_XBLEU, also tried milieuEcueilPriveXbleu[0m
[[31m12:33:14.950 STRATEGY (CRITICAL) on main main.RobotEntryPoint.initServices(RobotEntryPoint.java:195)] PAS DE PANNEAU[0m
[[31m12:33:29.248 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:181)] Failed to reach position because of someone in front of me! Enemy intersects [(1317,1032):(1317,882)]: Obstacle mobile circulaire Circle [center: (1224,1014), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (1317,882)[0m
[[31m12:33:31.311 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:181)] Failed to reach position because of someone in front of me! Enemy intersects [(1317,1032):(1317,882)]: Obstacle mobile circulaire Circle [center: (1224,1042), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (1317,882)[0m
[[31m12:33:35.086 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:181)] Failed to reach position because of someone in front of me! Enemy intersects [(1317,882):(1317,1032)]: Obstacle mobile circulaire Circle [center: (1316,847), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (1317,1032)[0m
[[31m12:33:37.145 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:181)] Failed to reach position because of someone in front of me! Enemy intersects [(1317,882):(1317,1032)]: Obstacle mobile circulaire Circle [center: (1316,847), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (1317,1032)[0m
[[31m12:33:39.205 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:181)] Failed to reach position because of someone in front of me! Enemy intersects [(1317,882):(1317,1032)]: Obstacle mobile circulaire Circle [center: (1316,847), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (1317,1032)[0m
[[31m12:33:41.281 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:181)] Failed to reach position because of someone in front of me! Enemy intersects [(1317,882):(1317,1032)]: Obstacle mobile circulaire Circle [center: (1316,847), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (1317,1032)[0m
[[31m12:33:43.333 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:181)] Failed to reach position because of someone in front of me! Enemy intersects [(1317,882):(1317,1032)]: Obstacle mobile circulaire Circle [center: (1316,847), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (1317,1032)[0m
[[31m12:33:45.389 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:181)] Failed to reach position because of someone in front of me! Enemy intersects [(1317,882):(1317,1032)]: Obstacle mobile circulaire Circle [center: (1316,847), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (1317,1032)[0m
[[31m12:33:47.458 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:181)] Failed to reach position because of someone in front of me! Enemy intersects [(1317,882):(1317,1032)]: Obstacle mobile circulaire Circle [center: (1316,847), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (1317,1032)[0m
[[31m12:33:49.519 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:181)] Failed to reach position because of someone in front of me! Enemy intersects [(1317,882):(1317,1032)]: Obstacle mobile circulaire Circle [center: (1316,847), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (1317,1032)[0m
[[31m12:33:51.588 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:181)] Failed to reach position because of someone in front of me! Enemy intersects [(1317,882):(1317,1032)]: Obstacle mobile circulaire Circle [center: (1316,847), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (1317,1032)[0m
[[31m12:33:57.394 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:181)] Failed to reach position because of someone in front of me! Enemy intersects [(1317,282):(1317,432)]: Obstacle mobile circulaire Circle [center: (1298,333), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (1317,432)[0m
