[[31m14:27:49.648 STDERR (CRITICAL) on main] Unknown key : RECALAGE_MECA_BLUE_ACC, also tried recalageMecaBlueAcc[0m
[[31m14:27:49.649 STDERR (CRITICAL) on main] Unknown key : MILIEU_ECUEIL_PRIVE_XBLEU, also tried milieuEcueilPriveXbleu[0m
[[31m14:27:49.988 STRATEGY (CRITICAL) on main main.RobotEntryPoint.initServices(RobotEntryPoint.java:195)] PAS DE PANNEAU[0m
[[31m14:28:01.645 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-424,137):(-224,137)]: Obstacle mobile circulaire Circle [center: (-254,189), ray : 292.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (376,137)[0m
[[31m14:28:03.697 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-424,137):(-224,137)]: Obstacle mobile circulaire Circle [center: (-254,189), ray : 292.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (376,137)[0m
[[31m14:28:05.748 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-424,137):(-224,137)]: Obstacle mobile circulaire Circle [center: (-254,189), ray : 292.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (376,137)[0m
[[31m14:28:07.800 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-424,137):(-224,137)]: Obstacle mobile circulaire Circle [center: (-254,189), ray : 292.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (376,137)[0m
[[31m14:28:09.851 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-424,137):(-224,137)]: Obstacle mobile circulaire Circle [center: (-254,189), ray : 292.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (376,137)[0m
[[31m14:28:11.903 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-424,137):(-224,137)]: Obstacle mobile circulaire Circle [center: (-254,189), ray : 292.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (376,137)[0m
[[31m14:28:13.954 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-424,137):(-224,137)]: Obstacle mobile circulaire Circle [center: (-254,189), ray : 292.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (376,137)[0m
[[31m14:28:16.005 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-424,137):(-224,137)]: Obstacle mobile circulaire Circle [center: (-254,189), ray : 292.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (376,137)[0m
[[31m14:28:18.056 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-424,137):(-224,137)]: Obstacle mobile circulaire Circle [center: (-254,189), ray : 292.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (376,137)[0m
[[31m14:28:20.108 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-424,137):(-224,137)]: Obstacle mobile circulaire Circle [center: (-254,189), ray : 292.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (376,137)[0m
[[31m14:28:22.160 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-424,137):(-224,137)]: Obstacle mobile circulaire Circle [center: (-254,189), ray : 292.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (376,137)[0m
